name,province,city,date,letter,gifts
Laura,Newfoundland and Labrador,St. John's,2024-11-09,"S-man!

What's crackin'? It's Laura from St. John's, Newfoundland and Labrador. I've been keeping my nose clean all year.
I'm super stoked about maybe getting a Pom Pom Beanie with LED Light. And if you're feeling extra jolly, a toy car would be off the hook!

You're a legend, Santa!
Laura
","Pom Pom Beanie with LED Light, toy car"
Jasmine,New Brunswick,Saint John,2024-12-09,"Yo Santa!

Jasmine checking in from Saint John, New Brunswick. This year's been wild, but I've kept it cool. 
I'm hyped about maybe getting a Amazon Fire HD 10 Kids Pro. And, if you're feeling extra jolly, a compact sewing machine would blow my mind!

Stay frosty!
Jasmine
","Amazon Fire HD 10 Kids Pro, compact sewing machine"
Christy,British Columbia,Vancouver,2024-11-07,"S-man!

What's crackin'? It's Christy from Vancouver, British Columbia. I've been keeping my nose clean all year.
I'm super stoked about maybe getting a skateboard. And if you're feeling extra jolly, a book would be off the hook!

You're a legend, Santa!
Christy
","skateboard, book"
Robert,Newfoundland and Labrador,Corner Brook,2024-12-20,"Hello Santa,

My name is Robert, and I come from Corner Brook, Newfoundland and Labrador.
This year, I’ve tried to spread kindness and be the best I can be. For Christmas, I would 
be delighted to unwrap a multi-tool pocket knife. And if it’s possible, I’d also really appreciate a Harry Potter Wand.

Thanks for making Christmas magical!
With gratitude,
Robert
","multi-tool pocket knife, Harry Potter Wand"
Andrea,Nunavut,Cambridge Bay,2024-12-08,"Santa, my main man!

Andrea here, chillin' in Cambridge Bay, Nunavut. I've been keeping it real and staying good.
I'm dreaming of unwrapping a Harry Potter Crookshanks Plush on Christmas morning. And if you're feeling generous, a 3D printing pen would be the cherry on top!

You're the GOAT, Santa!
Andrea
","Harry Potter Crookshanks Plush, 3D printing pen"
Mark,Nunavut,Iqaluit,2024-12-15,"Hi Santa,

I'm Mark from Iqaluit, Nunavut. It's been a great year, and I've tried my best to be good. 
For Christmas, I have my eyes set on a noise-cancelling headphones. If it’s not too much trouble, I’d also love a LEGO Creator 3-in-1 Mighty Dinosaurs.

Happy Holidays, Santa!
Best wishes,
Mark
","noise-cancelling headphones, LEGO Creator 3-in-1 Mighty Dinosaurs"
Sheryl,Manitoba,Winnipeg,2024-11-29,"Dear S-Claus,

It's your pal Sheryl from Winnipeg, Manitoba. I've been working on my nice game all year.
I'm really hoping for a toy car this Christmas. And hey, if you're in a giving mood, a Harry Potter Crookshanks Plush would be awesome too!

Thanks for being you!
Sheryl
","toy car, Harry Potter Crookshanks Plush"
Sarah,Prince Edward Island,Charlottetown,2024-11-10,"Dear Santa,

I hope this letter finds you well. My name is Sarah, and I live in Charlottetown, Prince Edward Island. 
This year, I've been on my best behavior. For Christmas, I would really love a Apple iPad Air. 
If you can, I would also be thrilled to receive a Apple iPad (10th Generation).

Thank you for all the joy you bring!
Sincerely,
Sarah
","Apple iPad Air, Apple iPad (10th Generation)"
Lori,British Columbia,Burnaby,2024-12-02,"Dear S-Claus,

It's your pal Lori from Burnaby, British Columbia. I've been working on my nice game all year.
I'm really hoping for a video game this Christmas. And hey, if you're in a giving mood, a Teenage Mutant Ninja Turtles Figures would be awesome too!

Thanks for being you!
Lori
","video game, Teenage Mutant Ninja Turtles Figures"
Scott,Quebec,Gatineau,2024-12-17,"Hi Santa!

Scott here, waving from Gatineau, Quebec. I've been trying my best to be good (most of the time).
I'm really hoping to find a ElectroCubes Nightlight Building Set under the tree. And if there's room in your bag, a smart home assistant would be amazing!

Thanks for being awesome!
Scott
","ElectroCubes Nightlight Building Set, smart home assistant"
Jennifer,Yukon,Dawson City,2024-12-08,"Hi Santa!

Jennifer here, waving from Dawson City, Yukon. I've been trying my best to be good (most of the time).
I'm really hoping to find a electric scooter under the tree. And if there's room in your bag, a Furby Furblets would be amazing!

Thanks for being awesome!
Jennifer
","electric scooter, Furby Furblets"
Christopher,Prince Edward Island,Charlottetown,2024-11-18,"S-man!

What's crackin'? It's Christopher from Charlottetown, Prince Edward Island. I've been keeping my nose clean all year.
I'm super stoked about maybe getting a e.l.f. Halo Glow Liquid Filter. And if you're feeling extra jolly, a indoor herb garden kit would be off the hook!

You're a legend, Santa!
Christopher
","e.l.f. Halo Glow Liquid Filter, indoor herb garden kit"
Ronald,Manitoba,Brandon,2024-12-13,"S-man!

What's crackin'? It's Ronald from Brandon, Manitoba. I've been keeping my nose clean all year.
I'm super stoked about maybe getting a Live Christmas Tree (Norfolk Island Pine). And if you're feeling extra jolly, a Yellow Dress-Up Set would be off the hook!

You're a legend, Santa!
Ronald
","Live Christmas Tree (Norfolk Island Pine), Yellow Dress-Up Set"
Beth,British Columbia,Vancouver,2024-12-08,"S-man!

What's crackin'? It's Beth from Vancouver, British Columbia. I've been keeping my nose clean all year.
I'm super stoked about maybe getting a teddy bear. And if you're feeling extra jolly, a solar-powered phone charger would be off the hook!

You're a legend, Santa!
Beth
","teddy bear, solar-powered phone charger"
Nathan,British Columbia,Victoria,2024-11-04,"Hi there, Santa!

It's Nathan from Victoria, British Columbia. I've been trying my best to stay on the nice list.
I'm really wishing for a mini drone this year. And if it's not too much, a electric wine opener would be amazing too!

Thanks for all you do!
Nathan
","mini drone, electric wine opener"
Brandon,Newfoundland and Labrador,Gander,2024-12-18,"Hey Santa!

What's up? It's Brandon here from Gander, Newfoundland and Labrador. I've been crushing it this year - no coal for me, right? 😉
I'm dreaming of a magnetic levitating globe under the tree. Oh, and if you've got room in that sleigh, a Surprise Toy Bath Bombs would be epic too!

You're the best, big guy!
Brandon
","magnetic levitating globe, Surprise Toy Bath Bombs"
Barbara,Alberta,Edmonton,2024-11-26,"Dear Santa,

I hope this letter finds you well. My name is Barbara, and I live in Edmonton, Alberta. 
This year, I've been on my best behavior. For Christmas, I would really love a teddy bear. 
If you can, I would also be thrilled to receive a 3D printing pen.

Thank you for all the joy you bring!
Sincerely,
Barbara
","teddy bear, 3D printing pen"
Diane,Saskatchewan,Saskatoon,2024-12-09,"Santa, my main man!

Diane here, chillin' in Saskatoon, Saskatchewan. I've been keeping it real and staying good.
I'm dreaming of unwrapping a noise-cancelling headphones on Christmas morning. And if you're feeling generous, a magnetic levitating globe would be the cherry on top!

You're the GOAT, Santa!
Diane
","noise-cancelling headphones, magnetic levitating globe"
Mitchell,New Brunswick,Saint John,2024-11-07,"Dear Santa Claus,

Mitchell here from Saint John, New Brunswick. I've been working hard on being good this year.
I'm really excited about the possibility of getting a smartphone tripod. And if it's not too much to ask, a robot would be incredible!

Thanks for spreading joy!
Mitchell
","smartphone tripod, robot"
Hunter,British Columbia,Burnaby,2024-11-20,"To Santa Claus,

My name is Hunter, and I live in Burnaby, British Columbia.
This year, I’ve worked really hard to stay on the 'nice' list. For Christmas, I would be so happy 
to receive a Wake Up Light Sunrise Alarm Clock. And if it’s not too much to ask, I would love a LEGO Star Wars Set as well.

Thank you so much, Santa!
Warm regards,
Hunter
","Wake Up Light Sunrise Alarm Clock, LEGO Star Wars Set"
Lacey,Alberta,Red Deer,2024-11-17,"Hello Santa,

My name is Lacey, and I come from Red Deer, Alberta.
This year, I’ve tried to spread kindness and be the best I can be. For Christmas, I would 
be delighted to unwrap a LED Light-Up Sneakers. And if it’s possible, I’d also really appreciate a skateboard.

Thanks for making Christmas magical!
With gratitude,
Lacey
","LED Light-Up Sneakers, skateboard"
Kayla,New Brunswick,Moncton,2024-11-30,"Dear S-Claus,

It's your pal Kayla from Moncton, New Brunswick. I've been working on my nice game all year.
I'm really hoping for a compact sewing machine this Christmas. And hey, if you're in a giving mood, a virtual pet robot would be awesome too!

Thanks for being you!
Kayla
","compact sewing machine, virtual pet robot"
Jose,Prince Edward Island,Charlottetown,2024-12-01,"Dear Santa Claus,

It’s Jose here from Charlottetown, Prince Edward Island! I hope you and the reindeer are doing great.
This year, I’ve been really good, and I’d be super excited to get a electric scooter.
And if it’s okay, I’d also love a interactive storybook projector to make the holidays even more special.

Thanks so much, Santa!
Love,
Jose
","electric scooter, interactive storybook projector"
Allen,Saskatchewan,Regina,2024-12-07,"Hello Santa,

My name is Allen, and I come from Regina, Saskatchewan.
This year, I’ve tried to spread kindness and be the best I can be. For Christmas, I would 
be delighted to unwrap a wireless charging pad. And if it’s possible, I’d also really appreciate a eco-friendly reusable notebook.

Thanks for making Christmas magical!
With gratitude,
Allen
","wireless charging pad, eco-friendly reusable notebook"
Christian,British Columbia,Surrey,2024-11-03,"Santa, my dude!

Christian here, repping Surrey, British Columbia. I've been good(ish) this year, promise!
I'm crossing my fingers for a LEGO Batman Mech Armor. And if you're feeling extra magical, a foldable travel backpack would make my year!

You rock, Santa!
Christian
","LEGO Batman Mech Armor, foldable travel backpack"
Vincent,Alberta,Red Deer,2024-11-21,"Hey Santa!

What's up? It's Vincent here from Red Deer, Alberta. I've been crushing it this year - no coal for me, right? 😉
I'm dreaming of a magnetic levitating globe under the tree. Oh, and if you've got room in that sleigh, a Out to Impress Jewelry Set would be epic too!

You're the best, big guy!
Vincent
","magnetic levitating globe, Out to Impress Jewelry Set"
John,Yukon,Whitehorse,2024-12-17,"Dear Santa Claus,

It’s John here from Whitehorse, Yukon! I hope you and the reindeer are doing great.
This year, I’ve been really good, and I’d be super excited to get a multi-tool pocket knife.
And if it’s okay, I’d also love a Live Christmas Tree (Norfolk Island Pine) to make the holidays even more special.

Thanks so much, Santa!
Love,
John
","multi-tool pocket knife, Live Christmas Tree (Norfolk Island Pine)"
Jerry,Nunavut,Iqaluit,2024-12-09,"Dear Santa Claus,

Hello! My name is Jerry, and I live in Iqaluit, Nunavut.
I’ve been very kind and helpful this year. For Christmas, I would really like a heated blanket with remote.
It would also make me so happy to have a book if you can manage it.

Thank you so much, Santa!
Yours truly,
Jerry
","heated blanket with remote, book"
Johnny,Alberta,Calgary,2024-12-15,"Dear Santa,

I hope this letter finds you well. My name is Johnny, and I live in Calgary, Alberta. 
This year, I've been on my best behavior. For Christmas, I would really love a mini waffle maker. 
If you can, I would also be thrilled to receive a Samsung Galaxy Tab A9+.

Thank you for all the joy you bring!
Sincerely,
Johnny
","mini waffle maker, Samsung Galaxy Tab A9+"
Bethany,New Brunswick,Fredericton,2024-12-10,"Dear Santa,

I hope this letter finds you well. My name is Bethany, and I live in Fredericton, New Brunswick. 
This year, I've been on my best behavior. For Christmas, I would really love a lego set. 
If you can, I would also be thrilled to receive a Rechargeable Hand Warmer.

Thank you for all the joy you bring!
Sincerely,
Bethany
","lego set, Rechargeable Hand Warmer"
Billy,New Brunswick,Saint John,2024-12-24,"Santa, my main man!

Billy here, chillin' in Saint John, New Brunswick. I've been keeping it real and staying good.
I'm dreaming of unwrapping a smartphone tripod on Christmas morning. And if you're feeling generous, a magnetic levitating globe would be the cherry on top!

You're the GOAT, Santa!
Billy
","smartphone tripod, magnetic levitating globe"
Mercedes,Newfoundland and Labrador,Corner Brook,2024-12-11,"Santa, my main man!

Mercedes here, chillin' in Corner Brook, Newfoundland and Labrador. I've been keeping it real and staying good.
I'm dreaming of unwrapping a Amazon Fire HD 10 Kids Pro on Christmas morning. And if you're feeling generous, a desktop air purifier would be the cherry on top!

You're the GOAT, Santa!
Mercedes
","Amazon Fire HD 10 Kids Pro, desktop air purifier"
Emily,New Brunswick,Moncton,2024-11-16,"Hey Santa!

What's up? It's Emily here from Moncton, New Brunswick. I've been crushing it this year - no coal for me, right? 😉
I'm dreaming of a Skullcandy Dime 2 In-Ear Wireless Earbuds under the tree. Oh, and if you've got room in that sleigh, a heated blanket with remote would be epic too!

You're the best, big guy!
Emily
","Skullcandy Dime 2 In-Ear Wireless Earbuds, heated blanket with remote"
Jason,Quebec,Quebec City,2024-12-22,"Hey Santa!

What's up? It's Jason here from Quebec City, Quebec. I've been crushing it this year - no coal for me, right? 😉
I'm dreaming of a scratch-off world map under the tree. Oh, and if you've got room in that sleigh, a customized photo puzzle would be epic too!

You're the best, big guy!
Jason
","scratch-off world map, customized photo puzzle"
Maurice,Yukon,Watson Lake,2024-11-30,"Dear Santa,

I hope this letter finds you well. My name is Maurice, and I live in Watson Lake, Yukon. 
This year, I've been on my best behavior. For Christmas, I would really love a bicycle. 
If you can, I would also be thrilled to receive a scratch-off world map.

Thank you for all the joy you bring!
Sincerely,
Maurice
","bicycle, scratch-off world map"
Michael,Prince Edward Island,Charlottetown,2024-11-18,"To Santa Claus,

My name is Michael, and I live in Charlottetown, Prince Edward Island.
This year, I’ve worked really hard to stay on the 'nice' list. For Christmas, I would be so happy 
to receive a Apple iPad (10th Generation). And if it’s not too much to ask, I would love a LED Light-Up Sneakers as well.

Thank you so much, Santa!
Warm regards,
Michael
","Apple iPad (10th Generation), LED Light-Up Sneakers"
Jason,Nunavut,Rankin Inlet,2024-12-17,"Dear Santa Claus,

Hello! My name is Jason, and I live in Rankin Inlet, Nunavut.
I’ve been very kind and helpful this year. For Christmas, I would really like a customized photo puzzle.
It would also make me so happy to have a desktop air purifier if you can manage it.

Thank you so much, Santa!
Yours truly,
Jason
","customized photo puzzle, desktop air purifier"
Gloria,British Columbia,Vancouver,2024-11-16,"Hi there, Santa!

It's Gloria from Vancouver, British Columbia. I've been trying my best to stay on the nice list.
I'm really wishing for a Barbie Dreamhouse this year. And if it's not too much, a mini waffle maker would be amazing too!

Thanks for all you do!
Gloria
","Barbie Dreamhouse, mini waffle maker"
Candice,Newfoundland and Labrador,Gander,2024-12-09,"Dear Santa Claus,

Candice here from Gander, Newfoundland and Labrador. I've been working hard on being good this year.
I'm really excited about the possibility of getting a personalized leather journal. And if it's not too much to ask, a LEGO Creator 3-in-1 Mighty Dinosaurs would be incredible!

Thanks for spreading joy!
Candice
","personalized leather journal, LEGO Creator 3-in-1 Mighty Dinosaurs"
Scott,Alberta,Red Deer,2024-12-03,"Hi Santa,

I'm Scott from Red Deer, Alberta. It's been a great year, and I've tried my best to be good. 
For Christmas, I have my eyes set on a mini drone. If it’s not too much trouble, I’d also love a doll.

Happy Holidays, Santa!
Best wishes,
Scott
","mini drone, doll"
Dawn,Quebec,Montreal,2024-12-10,"Santa, my main man!

Dawn here, chillin' in Montreal, Quebec. I've been keeping it real and staying good.
I'm dreaming of unwrapping a robot on Christmas morning. And if you're feeling generous, a LEGO Batman Mech Armor would be the cherry on top!

You're the GOAT, Santa!
Dawn
","robot, LEGO Batman Mech Armor"
Christopher,Alberta,Lethbridge,2024-12-12,"S-man!

What's crackin'? It's Christopher from Lethbridge, Alberta. I've been keeping my nose clean all year.
I'm super stoked about maybe getting a portable projector. And if you're feeling extra jolly, a virtual reality headset would be off the hook!

You're a legend, Santa!
Christopher
","portable projector, virtual reality headset"
Veronica,Northwest Territories,Inuvik,2024-11-24,"Dear Santa,

I hope this letter finds you well. My name is Veronica, and I live in Inuvik, Northwest Territories. 
This year, I've been on my best behavior. For Christmas, I would really love a Out to Impress Jewelry Set. 
If you can, I would also be thrilled to receive a Funko POP! Figures (NBA, MLB, Marvel).

Thank you for all the joy you bring!
Sincerely,
Veronica
","Out to Impress Jewelry Set, Funko POP! Figures (NBA, MLB, Marvel)"
Katelyn,Nunavut,Iqaluit,2024-12-11,"Yo Santa!

Katelyn checking in from Iqaluit, Nunavut. This year's been wild, but I've kept it cool. 
I'm hyped about maybe getting a virtual reality headset. And, if you're feeling extra jolly, a toy car would blow my mind!

Stay frosty!
Katelyn
","virtual reality headset, toy car"
Jeffrey,Manitoba,Brandon,2024-11-01,"Hi Santa,

I'm Jeffrey from Brandon, Manitoba. It's been a great year, and I've tried my best to be good. 
For Christmas, I have my eyes set on a video game. If it’s not too much trouble, I’d also love a robot.

Happy Holidays, Santa!
Best wishes,
Jeffrey
","video game, robot"
Derek,Northwest Territories,Hay River,2024-11-17,"Santa, my main man!

Derek here, chillin' in Hay River, Northwest Territories. I've been keeping it real and staying good.
I'm dreaming of unwrapping a mechanical keyboard on Christmas morning. And if you're feeling generous, a desktop bonsai tree kit would be the cherry on top!

You're the GOAT, Santa!
Derek
","mechanical keyboard, desktop bonsai tree kit"
Katherine,Manitoba,Brandon,2024-11-20,"Dear Santa Claus,

Katherine here from Brandon, Manitoba. I've been working hard on being good this year.
I'm really excited about the possibility of getting a mini waffle maker. And if it's not too much to ask, a book would be incredible!

Thanks for spreading joy!
Katherine
","mini waffle maker, book"
Susan,Quebec,Montreal,2024-11-02,"Santa, my dude!

Susan here, repping Montreal, Quebec. I've been good(ish) this year, promise!
I'm crossing my fingers for a Harry Potter Crookshanks Plush. And if you're feeling extra magical, a Samsung Galaxy Tab A9+ would make my year!

You rock, Santa!
Susan
","Harry Potter Crookshanks Plush, Samsung Galaxy Tab A9+"
Joseph,Nunavut,Rankin Inlet,2024-12-17,"Dear Santa,

I hope this letter finds you well. My name is Joseph, and I live in Rankin Inlet, Nunavut. 
This year, I've been on my best behavior. For Christmas, I would really love a Pom Pom Beanie with LED Light. 
If you can, I would also be thrilled to receive a customizable neon sign.

Thank you for all the joy you bring!
Sincerely,
Joseph
","Pom Pom Beanie with LED Light, customizable neon sign"
Jennifer,Prince Edward Island,Charlottetown,2024-12-16,"Hi Santa!

Jennifer here, waving from Charlottetown, Prince Edward Island. I've been trying my best to be good (most of the time).
I'm really hoping to find a Rechargeable Hand Warmer under the tree. And if there's room in your bag, a indoor herb garden kit would be amazing!

Thanks for being awesome!
Jennifer
","Rechargeable Hand Warmer, indoor herb garden kit"
Derek,Saskatchewan,Prince Albert,2024-12-16,"Hello Santa,

My name is Derek, and I come from Prince Albert, Saskatchewan.
This year, I’ve tried to spread kindness and be the best I can be. For Christmas, I would 
be delighted to unwrap a customized photo puzzle. And if it’s possible, I’d also really appreciate a Rainbow Loom Charm Bracelet Kit.

Thanks for making Christmas magical!
With gratitude,
Derek
","customized photo puzzle, Rainbow Loom Charm Bracelet Kit"
Kevin,Northwest Territories,Hay River,2024-11-03,"Santa, my main man!

Kevin here, chillin' in Hay River, Northwest Territories. I've been keeping it real and staying good.
I'm dreaming of unwrapping a LEGO Creator 3-in-1 Mighty Dinosaurs on Christmas morning. And if you're feeling generous, a wireless charging pad would be the cherry on top!

You're the GOAT, Santa!
Kevin
","LEGO Creator 3-in-1 Mighty Dinosaurs, wireless charging pad"
Xavier,New Brunswick,Moncton,2024-12-14,"Dear Santa,

I hope this letter finds you well. My name is Xavier, and I live in Moncton, New Brunswick. 
This year, I've been on my best behavior. For Christmas, I would really love a customized photo puzzle. 
If you can, I would also be thrilled to receive a Teenage Mutant Ninja Turtles Figures.

Thank you for all the joy you bring!
Sincerely,
Xavier
","customized photo puzzle, Teenage Mutant Ninja Turtles Figures"
Samantha,Saskatchewan,Regina,2024-12-09,"Dear Santa Claus,

Samantha here from Regina, Saskatchewan. I've been working hard on being good this year.
I'm really excited about the possibility of getting a Barbie Dreamhouse. And if it's not too much to ask, a customizable neon sign would be incredible!

Thanks for spreading joy!
Samantha
","Barbie Dreamhouse, customizable neon sign"
Allison,Saskatchewan,Saskatoon,2024-11-17,"Hi Santa!

Allison here, waving from Saskatoon, Saskatchewan. I've been trying my best to be good (most of the time).
I'm really hoping to find a smart home assistant under the tree. And if there's room in your bag, a scratch-off world map would be amazing!

Thanks for being awesome!
Allison
","smart home assistant, scratch-off world map"
Ethan,Manitoba,Winnipeg,2024-11-22,"Hi Santa,

I'm Ethan from Winnipeg, Manitoba. It's been a great year, and I've tried my best to be good. 
For Christmas, I have my eyes set on a LEGO Sets. If it’s not too much trouble, I’d also love a Funko POP! Figures (NBA, MLB, Marvel).

Happy Holidays, Santa!
Best wishes,
Ethan
","LEGO Sets, Funko POP! Figures (NBA, MLB, Marvel)"
Michael,Quebec,Laval,2024-11-18,"Hi Santa,

I'm Michael from Laval, Quebec. It's been a great year, and I've tried my best to be good. 
For Christmas, I have my eyes set on a bicycle. If it’s not too much trouble, I’d also love a toy car.

Happy Holidays, Santa!
Best wishes,
Michael
","bicycle, toy car"
Mitchell,Quebec,Quebec City,2024-11-11,"To Santa Claus,

My name is Mitchell, and I live in Quebec City, Quebec.
This year, I’ve worked really hard to stay on the 'nice' list. For Christmas, I would be so happy 
to receive a LEGO Batman Mech Armor. And if it’s not too much to ask, I would love a mini espresso maker as well.

Thank you so much, Santa!
Warm regards,
Mitchell
","LEGO Batman Mech Armor, mini espresso maker"
Elizabeth,Manitoba,Brandon,2024-12-05,"S-man!

What's crackin'? It's Elizabeth from Brandon, Manitoba. I've been keeping my nose clean all year.
I'm super stoked about maybe getting a lego set. And if you're feeling extra jolly, a Out to Impress Jewelry Set would be off the hook!

You're a legend, Santa!
Elizabeth
","lego set, Out to Impress Jewelry Set"
Daniel,Quebec,Quebec City,2024-11-27,"To Santa Claus,

My name is Daniel, and I live in Quebec City, Quebec.
This year, I’ve worked really hard to stay on the 'nice' list. For Christmas, I would be so happy 
to receive a bicycle. And if it’s not too much to ask, I would love a wireless charging pad as well.

Thank you so much, Santa!
Warm regards,
Daniel
","bicycle, wireless charging pad"
Karen,Ontario,Mississauga,2024-12-05,"Hi there, Santa!

It's Karen from Mississauga, Ontario. I've been trying my best to stay on the nice list.
I'm really wishing for a Minnie Mouse Hat and Mittens this year. And if it's not too much, a Apple Watch would be amazing too!

Thanks for all you do!
Karen
","Minnie Mouse Hat and Mittens, Apple Watch"
Ronald,Ontario,Ottawa,2024-12-23,"Dear Santa Claus,

Ronald here from Ottawa, Ontario. I've been working hard on being good this year.
I'm really excited about the possibility of getting a smart fitness tracker. And if it's not too much to ask, a Surprise Toy Bath Bombs would be incredible!

Thanks for spreading joy!
Ronald
","smart fitness tracker, Surprise Toy Bath Bombs"
Courtney,Alberta,Calgary,2024-11-22,"Dear Santa,

I hope this letter finds you well. My name is Courtney, and I live in Calgary, Alberta. 
This year, I've been on my best behavior. For Christmas, I would really love a interactive storybook projector. 
If you can, I would also be thrilled to receive a Ceramic Piggybank Nursery Keepsake.

Thank you for all the joy you bring!
Sincerely,
Courtney
","interactive storybook projector, Ceramic Piggybank Nursery Keepsake"
Jessica,Nunavut,Cambridge Bay,2024-12-11,"Hi Santa!

Jessica here, waving from Cambridge Bay, Nunavut. I've been trying my best to be good (most of the time).
I'm really hoping to find a LED Light-Up Sneakers under the tree. And if there's room in your bag, a personalized leather journal would be amazing!

Thanks for being awesome!
Jessica
","LED Light-Up Sneakers, personalized leather journal"
Brooke,Quebec,Quebec City,2024-12-12,"To Santa Claus,

My name is Brooke, and I live in Quebec City, Quebec.
This year, I’ve worked really hard to stay on the 'nice' list. For Christmas, I would be so happy 
to receive a portable karaoke microphone. And if it’s not too much to ask, I would love a Ceramic Piggybank Nursery Keepsake as well.

Thank you so much, Santa!
Warm regards,
Brooke
","portable karaoke microphone, Ceramic Piggybank Nursery Keepsake"
Melvin,Northwest Territories,Yellowknife,2024-12-13,"Hey Santa, what's good?

It's your buddy Melvin from Yellowknife, Northwest Territories. I've been trying to keep my cool all year.
I'm really hoping to score a e.l.f. Halo Glow Liquid Filter this Christmas. And if you've got any magic left, a solar-powered phone charger would be sick!

Keep sleighing it, Santa!
Melvin
","e.l.f. Halo Glow Liquid Filter, solar-powered phone charger"
Kristen,New Brunswick,Moncton,2024-11-09,"Dear S-Claus,

It's your pal Kristen from Moncton, New Brunswick. I've been working on my nice game all year.
I'm really hoping for a retro instant camera this Christmas. And hey, if you're in a giving mood, a customized photo puzzle would be awesome too!

Thanks for being you!
Kristen
","retro instant camera, customized photo puzzle"
Kelly,Quebec,Laval,2024-12-17,"Hey Santa!

What's up? It's Kelly here from Laval, Quebec. I've been crushing it this year - no coal for me, right? 😉
I'm dreaming of a LEGO Creator 3-in-1 Mighty Dinosaurs under the tree. Oh, and if you've got room in that sleigh, a smart fitness tracker would be epic too!

You're the best, big guy!
Kelly
","LEGO Creator 3-in-1 Mighty Dinosaurs, smart fitness tracker"
Karen,New Brunswick,Moncton,2024-11-04,"Santa, my main man!

Karen here, chillin' in Moncton, New Brunswick. I've been keeping it real and staying good.
I'm dreaming of unwrapping a vintage-style typewriter keyboard on Christmas morning. And if you're feeling generous, a mini drone would be the cherry on top!

You're the GOAT, Santa!
Karen
","vintage-style typewriter keyboard, mini drone"
Shaun,Nova Scotia,Dartmouth,2024-11-20,"Hello Santa,

My name is Shaun, and I come from Dartmouth, Nova Scotia.
This year, I’ve tried to spread kindness and be the best I can be. For Christmas, I would 
be delighted to unwrap a smartphone tripod. And if it’s possible, I’d also really appreciate a Barbie Dreamhouse.

Thanks for making Christmas magical!
With gratitude,
Shaun
","smartphone tripod, Barbie Dreamhouse"
Travis,Northwest Territories,Inuvik,2024-12-23,"Hi Santa!

Travis here, waving from Inuvik, Northwest Territories. I've been trying my best to be good (most of the time).
I'm really hoping to find a portable bluetooth speaker under the tree. And if there's room in your bag, a Teenage Mutant Ninja Turtles Figures would be amazing!

Thanks for being awesome!
Travis
","portable bluetooth speaker, Teenage Mutant Ninja Turtles Figures"
Maria,Saskatchewan,Saskatoon,2024-11-06,"Hi Santa,

I'm Maria from Saskatoon, Saskatchewan. It's been a great year, and I've tried my best to be good. 
For Christmas, I have my eyes set on a interactive storybook projector. If it’s not too much trouble, I’d also love a smartphone tripod.

Happy Holidays, Santa!
Best wishes,
Maria
","interactive storybook projector, smartphone tripod"
Michaela,Manitoba,Winnipeg,2024-12-01,"Dear Santa Claus,

Michaela here from Winnipeg, Manitoba. I've been working hard on being good this year.
I'm really excited about the possibility of getting a indoor herb garden kit. And if it's not too much to ask, a mini espresso maker would be incredible!

Thanks for spreading joy!
Michaela
","indoor herb garden kit, mini espresso maker"
Jill,Ontario,Ottawa,2024-11-14,"Yo Santa!

Jill checking in from Ottawa, Ontario. This year's been wild, but I've kept it cool. 
I'm hyped about maybe getting a Yellow Dress-Up Set. And, if you're feeling extra jolly, a teddy bear would blow my mind!

Stay frosty!
Jill
","Yellow Dress-Up Set, teddy bear"
Kenneth,Northwest Territories,Hay River,2024-11-07,"Hello Santa,

My name is Kenneth, and I come from Hay River, Northwest Territories.
This year, I’ve tried to spread kindness and be the best I can be. For Christmas, I would 
be delighted to unwrap a Samsung Galaxy Tab A9+. And if it’s possible, I’d also really appreciate a Ceramic Piggybank Nursery Keepsake.

Thanks for making Christmas magical!
With gratitude,
Kenneth
","Samsung Galaxy Tab A9+, Ceramic Piggybank Nursery Keepsake"
Valerie,Yukon,Watson Lake,2024-11-18,"Dear Santa Claus,

Hello! My name is Valerie, and I live in Watson Lake, Yukon.
I’ve been very kind and helpful this year. For Christmas, I would really like a interactive storybook projector.
It would also make me so happy to have a magnetic levitating globe if you can manage it.

Thank you so much, Santa!
Yours truly,
Valerie
","interactive storybook projector, magnetic levitating globe"
Nathan,Yukon,Dawson City,2024-12-05,"Hey Santa, what's good?

It's your buddy Nathan from Dawson City, Yukon. I've been trying to keep my cool all year.
I'm really hoping to score a eco-friendly reusable notebook this Christmas. And if you've got any magic left, a foldable travel backpack would be sick!

Keep sleighing it, Santa!
Nathan
","eco-friendly reusable notebook, foldable travel backpack"
Carl,Quebec,Quebec City,2024-12-24,"Santa, my dude!

Carl here, repping Quebec City, Quebec. I've been good(ish) this year, promise!
I'm crossing my fingers for a multi-tool pocket knife. And if you're feeling extra magical, a Transformers Authentics Optimus Prime would make my year!

You rock, Santa!
Carl
","multi-tool pocket knife, Transformers Authentics Optimus Prime"
Caroline,Alberta,Calgary,2024-11-26,"Dear Santa,

I hope this letter finds you well. My name is Caroline, and I live in Calgary, Alberta. 
This year, I've been on my best behavior. For Christmas, I would really love a portable bluetooth speaker. 
If you can, I would also be thrilled to receive a personalized leather journal.

Thank you for all the joy you bring!
Sincerely,
Caroline
","portable bluetooth speaker, personalized leather journal"
